Date,Month,Day of Week,Place,Drink,Topping,Type 
1/8/2021,January,Friday,Cafe Lattea,Black Milk Tea,Boba,Milk
1/9/2021,January,Saturday,Teaspoon,Passion Fruit Sunrise,Boba,Fruit
1/23/2021,January,Saturday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk 
1/28/2021,January,Thursday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
2/3/2021,February,Wednesday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
2/7/2021,February,Sunday,Mr. Sun,Black Tea Lemonade ,Strawberry Boba,Fruit
2/14/2021,February,Sunday,Mr. Sun,Mango Green Tea,Peach Boba,Fruit
2/19/2021,February,Friday,Gong Cha,Boba Milk Tea,Boba,Milk
2/26/2021,February,Friday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
3/5/2021,March,Friday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
3/10/2021,March,Wednesday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
3/15/2021,March,Monday,Gong Cha,Boba Milk Tea,Boba,Milk
3/16/2021,March,Tuesday,Yifang,Boba Milk Tea,Boba,Milk
3/26/2021,March,Friday,Tastea,Bootea Shaker,Boba,Fruit
4/2/2021,April,Friday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
4/10/2021,April,Saturday,Mr. Sun,Mango Green Tea,None,Fruit
4/14/2021,April,Wednesday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
4/20/2021,April,Tuesday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
4/23/2021,April,Friday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
4/25/2021,April,Sunday,Tpumps,"Passion Fruit, Mango, Peach Black Tea",Boba,Fruit
5/2/2021,May,Sunday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
5/5/2021,May,Wednesday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
5/9/2021,May,Sunday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
5/14/2021,May,Friday,Tan Cha,Brown Sugar Boba Milk Tea,Boba,Milk
5/17/2021,May,Monday,Gong Cha,Boba Milk Tea,Boba,Milk
5/21/2021,May,Friday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
5/22/2021,May,Saturday,Cafe Lattea,Earl Grey Milk Tea,None,Milk
5/28/2021,May,Friday,Mr. Sun,Mango Green Tea,None,Fruit
5/29/2021,May,Saturday,Tea Top,Earl Grey Milk Tea,"Boba, Jelly",Milk
5/30/2021,May,Sunday,Tpumps,"Passion Fruit, Mango, Peach Black Tea",Boba,Fruit
6/1/2021,June,Tuesday,Tan Cha,Super Fruit Tea,Boba,Fruit
6/3/2021,June,Thursday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
6/4/2021,June,Friday,Cafe Lattea,Black Milk Tea,Boba,Milk
6/5/2021,June,Saturday,Teaspoon,House Milk Tea,Boba,Milk
6/8/2021,June,Tuesday,Tea Era,Black Milk Tea,Boba,Milk
6/17/2021,June,Thursday,Share Tea,Honey Milk Tea,Boba,Milk
6/20/2021,June,Sunday,T4,Earl Grey Milk Tea,Boba,Milk
6/25/2021,June,Friday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
6/27/2021,June,Sunday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
6/30/2021,June,Wednesday,Boba Guys,Strawberry Matcha Latte,Boba,Fruit
7/2/2021,July,Friday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
7/3/2021,July,Saturday,Gong Cha,Boba Milk Tea,Boba,Milk
7/6/2021,July,Tuesday,Mr. Sun,Black Tea Lemonade ,Strawberry Boba,Fruit
7/8/2021,July,Thursday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
7/13/2021,July,Tuesday,Tpumps,"Passion Fruit, Mango, Peach Black Tea",Boba,Fruit
7/18/2021,July,Sunday,Tpumps,"Passion Fruit, Mango, Peach Black Milk Tea",Boba,Milk
7/20/2021,July,Tuesday,Boba Bar,Mango Green Tea,Boba,Fruit
7/22/2021,July,Thursday,Tastea,Classic Milk Tea,Boba,Milk
7/28/2021,July,Wednesday,Tan Cha,Strawberry Green Tea,Boba,Fruit
7/31/2021,July,Saturday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
8/3/2021,August,Tuesday,Junbi,Strawberry Matcha Latte,Boba,Milk
8/5/2021,August,Thursday,Omomo,Grapefruit Green Tea,Boba,Fruit
8/13/2021,August,Friday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
8/15/2021,August,Sunday,Happy Lemon,Grapefruit Green Tea,Boba,Fruit
8/20/2021,August,Friday,Mr. Sun,Black Tea Lemonade ,Strawberry Boba,Fruit
8/25/2021,August,Wednesday,Cafe Lattea,Black Milk Tea,Boba,Milk
8/27/2021,August,Friday,Gong Cha,QQ Passion Fruit Green Tea,"Boba, Jelly",Fruit
8/27/2021,August,Friday,Gong Cha,Boba Milk Tea,Boba,Milk
9/3/2021,September,Friday,Milk Tea Lab,Mango Milk Tea,Boba,Milk
9/10/2021,September,Friday,Mr. Sun,Mango Green Tea,None,Fruit
9/16/2021,September,Thursday,Yifang,Boba Milk Tea,Boba,Milk
9/20/2021,September,Monday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
9/25/2021,September,Saturday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
10/1/2021,October,Friday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
10/2/2021,October,Saturday,Tea Era,Mango Green Tea,Boba,Fruit
10/8/2021,October,Friday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
10/9/2021,October,Saturday,Bober,Brown Sugar Boba Milk Tea,Boba,Milk
10/10/2021,October,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
10/16/2021,October,Saturday,Teaspoon,House Milk Tea,Boba,Milk
10/22/2021,October,Friday,Happy Lemon,Lemon Yakult,Boba,Fruit
10/29/2021,October,Friday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/3/2021,November,Wednesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/10/2021,November,Wednesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/11/2021,November,Thursday,Teaspoon,Lychee on Lychee,"Boba, Jelly",Fruit
11/12/2021,November,Friday,TP Tea,Boba Milk Tea,Boba,Milk
11/16/2021,November,Tuesday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
11/20/2021,November,Saturday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/23/2021,November,Tuesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/24/2021,November,Wednesday,Tea Top,Earl Grey Milk Tea,"Boba, Jelly",Milk
12/4/2021,December,Saturday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
12/8/2021,December,Wednesday,Teaspoon,Liquid Gold,Boba,Milk
12/10/2021,December,Friday,TP Tea,Boba Milk Tea,Boba,Milk
12/12/2021,December,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
12/16/2021,December,Thursday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
12/18/2021,December,Saturday,TP Tea,Boba Milk Tea,Boba,Milk
12/22/2021,December,Wednesday,Happy Lemon,Lemon Yakult,Boba,Fruit
12/27/2021,December,Monday,Tpumps,"Passion Fruit, Mango, Peach Black Milk Tea",Boba,Milk
12/29/2021,December,Wednesday,TP Tea,Boba Milk Tea,Boba,Milk
12/31/2021,December,Friday,Teaspoon ,House Milk Tea,Boba,Milk
1/7/2022,January,Friday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
1/16/2022,January,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
1/17/2022,January,Monday,Lilikoi Boba,POG Aloha,Boba,Fruit
1/22/2022,January,Saturday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
1/28/2022,January,Friday,TP Tea,Strawberry Matcha Latte,Boba,Milk
2/6/2022,February,Sunday,Meet Fresh,Boba Milk Tea,Boba,Milk
2/11/2022,February,Friday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
2/12/2022,February,Saturday,TP Tea,Boba Milk Tea,Boba,Milk
2/20/2022,February,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
2/22/2022,February,Tuesday,TP Tea,Passion Fruit Green Tea,Boba,Fruit
2/26/2022,February,Saturday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
3/3/2022,March,Thursday,TP Tea,Boba Milk Tea,Boba,Milk
3/7/2022,March,Monday,Tpumps,"Passion Fruit, Mango, Peach Black Tea",Boba,Fruit
3/11/2022,March,Friday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
3/14/2022,March,Monday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
3/15/2022,March,Tuesday,Mr. Sun,Passion Fruit Green Tea,Boba,Fruit
3/16/2022,March,Wednesday,Teaspoon,House Milk Tea,Boba,Milk
3/18/2022,March,Friday,Tiger Tea and Juice,Grapefruit Green Tea,None,Fruit
3/25/2022,March,Friday,TP Tea,Boba Milk Tea,Boba,Milk
3/27/2022,March,Sunday,Aloha Fresh,POG Tea,Jelly,Fruit
4/3/2022,April,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
4/7/2022,April,Thursday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
4/9/2022,April,Saturday,Mr. Sun,Mango Green Tea,None,Fruit
4/16/2022,April,Saturday,Teaspoon,Guava Sunset,Boba,Fruit
4/17/2022,April,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
4/21/2022,April,Thursday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
4/23/2022,April,Saturday,On It Coffee,Passion Fruit Black Tea,Mango Boba,Fruit
4/24/2022,April,Sunday,Mr. Sun,Mango Green Tea,Strawberry Boba,Fruit
4/30/2022,April,Saturday,Ding Tea,Signature Milk Tea,Boba,Milk
5/1/2022,May,Sunday,Amai,Milky Way Matcha,Boba,Milk
5/4/2022,May,Wednesday,Mr. Sun,Strawberry Boba Milk Tea,Strawberry Boba,Milk
5/7/2022,May,Saturday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
5/8/2022,May,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
5/14/2022,May,Saturday,TP Tea,Boba Milk Tea,Boba,Milk
5/15/2022,May,Sunday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
5/22/2022,May,Sunday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
5/27/2022,May,Friday,Mr. Sun,Strawberry Milk Tea,Strawberry Boba,Milk
5/28/2022,May,Saturday,Mr. Sun,Brown Sugar Boba Milk Tea,Boba,Milk
6/2/2022,June,Thursday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
6/4/2022,June,Saturday,Teaspoon,House Milk Tea,Boba,Milk
6/6/2022,June,Monday,TP Tea,Boba Milk Tea,Boba,Milk
6/10/2022,June,Friday,TP Tea,Mango Boba Milk Tea,Boba,Milk
6/16/2022,June,Thursday,Tea Era,Earl Grey Milk Tea,Boba,Milk
6/18/2022,June,Saturday,Tan Cha,Strawberry Green Tea,Boba,Fruit
6/21/2022,June,Tuesday,Happy Lemon,Grapefruit Green Tea,Boba,Fruit
6/24/2022,June,Friday,Tea Era,Grapefruit Green Tea,Boba,Fruit
6/28/2022,June,Tuesday,Meet Fresh,Passion Fruit Green Tea,None,Fruit
6/30/2022,June,Thursday,Boba Guys,Strawberry Passion Fruit Green Tea,None,Fruit
7/1/2022,July,Friday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
7/11/2022,July,Monday,Gong Cha,Passion Fruit Green Tea,"Boba, Jelly",Fruit
7/11/2022,July,Monday,Teaspoon,Guava Sunset,None,Fruit
7/11/2022,July,Monday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
7/15/2022,July,Friday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
7/20/2022,July,Wednesday,TP Tea,Boba Milk Tea,Boba,Milk
7/27/2022,July,Wednesday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
7/30/2022,July,Saturday,Gong Cha,Boba Milk Tea,Boba,Milk
7/31/2022,July,Sunday,Tastea,Sunset Peach,Boba,Fruit
8/3/2022,August,Wednesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
8/5/2022,August,Friday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
8/6/2022,August,Saturday,TP Tea,Mango Boba Milk Tea,Boba,Milk
8/10/2022,August,Wednesday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
8/16/2022,August,Tuesday,Tpumps,"Guava, Passion Fruit Black Tea",Boba,Fruit
8/18/2022,August,Thursday,Teaspoon,House Milk Tea,Boba,Milk
8/20/2022,August,Saturday,Boba Guys,Lychee Oolong,Boba,Fruit
8/23/2022,August,Tuesday,TP Tea,Peach Fantasy Tea,"Boba, Jelly",Fruit
8/28/2022,August,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
8/31/2022,August,Wednesday,TP Tea,Boba Milk Tea,Boba,Milk
9/4/2022,September,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
9/5/2022,September,Monday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
9/11/2022,September,Sunday,Tea Era,Guava Green Tea,Boba,Fruit
9/13/2022,September,Tuesday,TP Tea,Boba Milk Tea,Boba,Milk
9/16/2022,September,Friday,Mr. Sun,Mango Green Tea,None,Fruit
9/21/2022,September,Wednesday,TP Tea,Mango Boba Milk Tea,Boba,Milk
9/24/2022,September,Saturday,Tea Era,Boba Milk Tea,Boba,Milk
9/25/2022,September,Sunday,Tea Era,Boba Milk Tea,Boba,Milk
9/26/2022,September,Monday,Tea Era,Boba Milk Tea,Boba,Milk
9/28/2022,September,Wednesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
10/9/2022,October,Sunday,Cafe Lattea,Black Milk Tea,Boba,Milk
10/12/2022,October,Wednesday,Tea Era,Guava Green Tea,Boba,Fruit
10/14/2022,October,Friday,TP Tea,Strawberry Matcha Latte,None,Milk
10/15/2022,October,Saturday,7 Leaves,Oolong Milk Tea,Boba,Milk
10/21/2022,October,Friday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
10/23/2022,October,Sunday,TP Tea,Mango Boba Milk Tea,Boba,Milk
10/26/2022,October,Wednesday,Yifang,Mango Pomelo Sago,None,Fruit
10/28/2022,October,Friday,Tea Era,Black Milk Tea,Boba,Milk
10/29/2022,October,Saturday,TP Tea,Mango Boba Milk Tea,Boba,Milk
10/29/2022,October,Saturday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
11/5/2022,November,Saturday,Bopomofo,Guava Matcha Latte,Boba,Milk
11/9/2022,November,Wednesday,Boba Bar,Matcha Latte,Boba,Milk
11/13/2022,November,Sunday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/15/2022,November,Tuesday,TP Tea,Boba Milk Tea,Boba,Milk
11/19/2022,November,Saturday,Yoko Tea,Guava Green Tea,Boba,Fruit
11/20/2022,November,Sunday,Tiger Sugar,Matcha Black Sugar Milk,Boba,Milk
11/23/2022,November,Wednesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
11/27/2022,November,Sunday,TP Tea,Mango Boba Milk Tea,Boba,Milk
12/3/2022,December,Saturday,TP Tea,Mango Boba Milk Tea,Boba,Milk
12/8/2022,December,Thursday,TP Tea,Mango Boba Milk Tea,Boba,Milk
12/9/2022,December,Friday,Fantasia,Passion Fruit Green Tea,Boba,Fruit
12/13/2022,December,Tuesday,Tastea,Boba Milk Tea,Boba,Milk
12/17/2022,December,Saturday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
12/18/2022,December,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
12/19/2022,December,Monday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
12/29/2022,December,Thursday,Meet Fresh,Passion Fruit Green Tea,Boba,Fruit
1/1/2023,January,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
1/4/2023,January,Wednesday,Moomo,Boba Milk Tea,Boba,Milk
1/13/2023,January,Friday,Mr. Sun,Mango Green Tea,Mango Boba,Fruit
1/20/2023,January,Friday,TP Tea,Strawberry Matcha Latte,None,Milk
1/24/2023,January,Tuesday,TP Tea,Boba Milk Tea,Boba,Milk
1/28/2023,January,Saturday,Tea Top,Earl Grey Milk Tea,"Boba, Jelly",Milk
1/29/2023,January,Sunday,Dr. Ink,Oolong Milk Tea,Crystal Boba,Milk
2/5/2023,February,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
2/8/2023,February,Wednesday,Tea Era,Boba Milk Tea,Boba,Milk
2/12/2023,February,Sunday,TP Tea,Mango Boba Milk Tea,Boba,Milk
2/17/2023,February,Friday,TP Tea,Strawberry Matcha Latte,Boba,Milk
2/18/2023,February,Saturday,Jazen Tea,Mango Green Tea,Boba,Fruit
3/4/2023,March,Saturday,Truedan,Grapefruit Green Tea,Boba,Fruit
3/5/2023,March,Sunday,Jooy,Strawberry Matcha Latte,Boba,Milk
3/10/2023,March,Friday,Tpumps,"Passion Fruit, Mango, Peach Black Milk Tea",Boba,Milk
3/12/2023,March,Sunday,Cafe Lattea,Black Milk Tea,Boba,Milk
3/15/2023,March,Wednesday,Yifang,Peach Grapefruit Green Tea,None,Fruit
3/16/2023,March,Thursday,Yifang,Fruit Tea,Boba,Fruit
3/18/2023,March,Saturday,Teaspoon,House Milk Tea,Boba,Milk
3/21/2023,March,Tuesday,Meet Fresh,Passion Fruit Green Tea,Boba,Fruit
3/28/2023,March,Tuesday,Mr. Sun,Rainbow Boba Milk Tea,Rainbow Boba,Milk
3/31/2023,March,Friday,TP Tea,Passion Fruit Green Tea,None,Fruit
4/1/2023,April,Saturday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
4/2/2023,April,Sunday,TP Tea,Boba Milk Tea,Boba,Milk
4/9/2023,April,Sunday,TP Tea,Passion Fruit Green Tea,Boba,Fruit
4/12/2023,April,Wednesday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
4/14/2023,April,Friday,Tastea,Sunset Peach,Boba,Fruit
4/17/2023,April,Monday,Gong Cha,Grapefruit Green Tea,Boba,Fruit
4/19/2023,April,Wednesday,Omomo,Omomo Matcha,Boba,Milk
4/20/2023,April,Thursday,Orobae,Oolong Milk Tea,Boba,Milk
4/27/2023,April,Thursday,Cafe Lattea,Passion Fruit Green Tea,Boba,Fruit
4/30/2023,April,Sunday,Tastea,Sunset Peach,Boba,Fruit
5/2/2023,May,Tuesday,Happy Lemon,Passion Fruit Green Tea,Boba,Fruit
5/6/2023,May,Saturday,Boba Beast,Black Milk Tea,Boba,Milk
5/12/2023,May,Friday,Tan Cha,Matcha Brown Sugar,Boba,Milk
5/14/2023,May,Sunday,TP Tea,Mango Boba Milk Tea,Boba,Milk
5/19/2023,May,Friday,Tastea,Mango Milk Tea,Boba,Milk
5/22/2023,May,Monday,Boba Guys,Strawberry Matcha Latte,Boba,Milk
5/26/2023,May,Friday,Tastea,Strawberry Milk Tea,Boba,Milk
5/27/2023,May,Saturday,Calibear Cyber Cafe,Black Milk Tea,Boba,Milk
5/29/2023,May,Monday,Sunright,Boba Milk Tea,Boba,Milk
6/2/2023,June,Friday,Tea Era,Mango Green Tea,Boba,Fruit
